PLZ,Ort,Bundesland,gültig ab,gültig bis,NamePLZTyp,intern_extern,adressierbar,Postfach
6522,Prutz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6524,Feichten im Kaunertal,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6525,Faggen,T,01.06.2012,,PLZ-Adressierung,extern,Ja,Nein
6526,Kauns,T,01.12.2015,,PLZ-Adressierung,extern,Ja,Nein
6527,Kaunerberg,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6528,Fendels,T,01.12.2008,,PLZ-Adressierung,extern,Ja,Nein
6531,Ried im Oberinntal,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6532,Ladis,T,01.06.2008,,PLZ-Adressierung,extern,Ja,Nein
6533,Fiss,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6534,Serfaus,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6541,Tösens,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6542,Pfunds,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6543,Nauders,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6544,Spiss,T,01.11.2008,,PLZ-Adressierung,extern,Ja,Nein
6551,Pians,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6552,Tobadill,T,01.08.2008,,PLZ-Adressierung,extern,Ja,Nein
6553,See,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6555,Kappl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6561,Ischgl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6562,Mathon,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6563,Galtür,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6571,Strengen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6572,Flirsch,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6574,Pettneu am Arlberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6580,St. Anton am Arlberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6591,Grins,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6600,Reutte,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6604,Höfen,T,01.04.2009,,PLZ-Adressierung,extern,Ja,Nein
6610,Wängle,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6611,Heiterwang,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6621,Bichlbach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6622,Berwang,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6623,Namlos,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6631,Lermoos,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6632,Ehrwald,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6633,Biberwier,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6642,Stanzach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6644,Elmen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6645,Vorderhornbach,T,01.01.2007,,PLZ-Adressierung,extern,Ja,Nein
6646,Hinterhornbach,T,01.06.2008,,PLZ-Adressierung,extern,Ja,Nein
6647,Pfafflar,T,01.07.2008,,PLZ-Adressierung,extern,Ja,Nein
6650,Gramais,T,01.12.2008,,PLZ-Adressierung,extern,Ja,Nein
6651,Häselgehr,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6652,Elbigenalp,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6653,Bach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6654,Holzgau,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6655,Steeg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6670,Forchach,T,01.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6671,Weißenbach am Lech,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6672,Nesselwängle,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6673,Grän,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6675,Tannheim,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6677,Schattwald,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6682,Vils,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6691,Jungholz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6700,Bludenz,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6701,Bludenz Postfach,V,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
6702,Bludenz,V,01.10.2010,,PLZ-Postfach,extern,Nein,Ja
6705,Bürs,V,01.12.2012,,PLZ-Postfach,extern,Nein,Ja
6706,Bürs,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6707,Bürserberg,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6708,Brand,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6710,Nenzing,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6712,Thüringen,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6713,Ludesch,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6714,Nüziders,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6719,Bludesch,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6721,Thüringerberg,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6722,St. Gerold,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6723,Blons,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6731,Sonntag,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6733,Fontanella,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6741,Raggal,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6751,Braz,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6752,Dalaas,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6754,Klösterle,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6762,Stuben,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6763,Zürs,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6764,Lech,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6767,Warth,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6771,St. Anton im Montafon,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6773,Vandans,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6774,Tschagguns,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6780,Schruns,V,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
